first_name,last_name,email,gender,phone_number,guardian_name,guardian_phone_number,registration_number,address,city,country,date_of_birth
Hester,Iacovo,hiacovo9@noaa.gov,Female,809-133-8937,Hester Iacovo,994-479-8439,17801712,4717 Anderson Terrace,Mbale,Kenya,2007-12-06
Margarete,McMichell,mmcmichella@themeforest.net,Female,736-922-6494,Margarete McMichell,283-987-5256,98089827,32410 Wayridge Way,Naberera,Tanzania,2007-09-20
Ludovika,Simms,lsimmsb@tinypic.com,Female,847-521-9609,Ludovika Simms,383-736-1999,31067153,371 Waywood Hill,Kibingo,Uganda,2004-11-25
Dilan,Gumly,dgumlyc@soundcloud.com,Male,688-291-4733,Dilan Gumly,218-459-7137,72333961,29 Esker Drive,Kihurio,Tanzania,2006-05-05
Gerti,Sporner,gspornerd@sakura.ne.jp,Female,401-338-3829,Gerti Sporner,104-343-4733,34391938,8 Melrose Point,Koani Ndogo,Tanzania,2000-04-05
Mata,Caig,mcaige@wsj.com,Male,157-704-7877,Mata Caig,619-505-1585,05113507,674 Reindahl Lane,Pader Palwo,Uganda,2006-07-22
Sebastien,Dubock,sdubockf@jigsy.com,Male,325-256-5718,Sebastien Dubock,509-345-0665,96898505,71375 Warrior Road,Lamu,Kenya,1999-12-05
Mick,Bottleson,mbottlesong@godaddy.com,Male,415-800-7231,Mick Bottleson,132-778-9345,11580761,805 Nevada Avenue,Malya,Tanzania,2006-11-25
Petr,Poizer,ppoizerh@google.co.jp,Male,854-983-9375,Petr Poizer,228-638-1151,80879333,489 Del Mar Pass,Kabale,Uganda,2005-10-13
Cristian,Verrier,cverrieri@jugem.jp,Male,153-899-1477,Cristian Verrier,122-528-4539,49170816,4 Forest Run Center,Tumbi,Tanzania,2006-07-08
Rhianon,Brimm,rbrimmj@arizona.edu,Female,656-193-5557,Rhianon Brimm,952-464-4711,77340725,289 Comanche Center,Maralal,Kenya,2003-08-10
Delly,Ehlerding,dehlerdingk@weather.com,Female,775-912-0577,Delly Ehlerding,695-611-4757,89839987,41 Charing Cross Place,Bundibugyo,Uganda,2007-08-29
Merry,Dodwell,mdodwelll@phoca.cz,Male,244-970-8736,Merry Dodwell,794-329-6048,02055828,12632 American Place,Magugu,Tanzania,2007-07-18
